Item Number,PN,Description,Manufacturer,Manufacturer Part Number,Quantity,Value,Part Reference,Package Size,Package Type,Temperature
1,302010050,SMD CAP Ceramic 20pF-50V-5%-NPO;0402,YAGEO,CC0402JRNPO9BN200,2,20pF,"C1,C2",0402,SMD,-55°C to 125°C
2,302010026,SMD CAP Ceramic 8pF-50V-0.5pF-NPO;0402,YAGEO,CC0402DRNPO9BN8R0,2,8pF,"C3,C4",0402,SMD,-55°C to 125°C
3,302010271,SMD CAP Ceramic 100nF-10V-10%-X5R;0201,YAGEO,CC0201KRX5R6BB104,82,100nF,"C5,C8,C18,C21,C22,C34,C35,C58,C59,C65,C66,C67,C68,C70,C71,C72,C73,C74,C76,C121,C122,C123,C124,C130,C145,C148,C151,C154,C155,C158,C161,C164,C167,C170,C173,C176,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199,C200,C201,C202,C205,C208,C209,C210,C211,C212,C213,C216,C217,C218,C219,C220,C221,C222,C223,C226,C227,C228,C229,C230,C270,C272,C273",0201,SMD,-55°C to 85°C
4,302013249,SMD CAP Ceramic 1uF-10V-10%-X5R;0402,Samsung,CL05A105KP5NNNC,5,1uF,"C6,C7,C9,C10,C20",0402,SMD,-55°C to 85°C
5,302010420,SMD CAP Ceramic 100pF-50V-5%-NP0;0201,YAGEO,CC0201JRNPO9BN101,1,100pF,C11,0201,SMD,-55°C to 85°C
6,302010431,SMD CAP Ceramic 10nF-16V-10%-X7R;0201,YAGEO,CC0201KRX7R7BB103,26,10nF,"C12,C13,C14,C81,C82,C99,C100,C101,C102,C114,C115,C116,C117,C118,C119,C120,C146,C149,C152,C156,C159,C162,C165,C168,C171,C174",,SMD,-55°C to 125°C
7,302013260,SMD CAP Ceramic 22uF-25V-20%-X5R;0805,SAMSUNG,CL21A226MAYNNNE,5,22uF,"C15,C31,C32,C134,C135",0805,SMD,-55°C to 85°C
8,302010389,SMD CAP Ceramic 1nF-16V-10%-X7R;0201,YAGEO,CC0201KRX7R7BB102,1,1nF,C16,0201,SMD,-55°C to 125°C
9,302013250,SMD CAP Ceramic 10uF-6.3V-20%-X5R;0402,SAMSUNG,CL05A106MQ5NUNC,5,10uF,"C17,C132,C203,C206,C231",0402,SMD,-55°C to 85°C
10,302012521,SMD CAP Ceramic;470nF-6.3V;0201,YAGEO,CC0201KRX5R5BB474,1,470nF,C19,0201,SMD,-55°C to 85°C
